Feature,Gain %,Direction,Proxy W %,Proxy Weight,Split Count
near_high,21.805130817186196,+,21.805132,0.21805131,472
momentum_2w,21.074644444170804,+,21.074644,0.21074644,397
atr_squeeze,12.363874758431503,+,12.363874,0.12363875,675
trend_26w,9.61248118245077,+,9.612481,0.09612481,638
vol_momentum,7.838622057962545,+,7.8386216,0.07838622,444
obv_accel,7.4690009299493685,+,7.469001,0.07469001,664
macd_strength,5.3363079731856224,+,5.336308,0.05336308,396
rsi_oversold,4.459335293899234,−,4.4593353,-0.044593353,328
stoch_oversold,4.167168389988699,−,4.167168,-0.041671682,282
bb_squeeze,3.3429692854401067,−,3.3429694,-0.033429693,354
ema_dip,2.5304648673351515,−,2.530465,-0.025304649,215
